Dataset; #Training; %Training; %DefectTraining; %DefectTesting; Classifier; Balancing; FeatureSelection; TP; FP; TN; FN; Precision; Recall; ROC Area; Kappa
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;IBK;SMOTE;Yes;77.0;12.0;56.0;5.0;0.8651685393258427;0.9390243902439024;0.8866571018651362;0.7693142753754298
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;RandomForest;SMOTE;Yes;157.0;23.0;113.0;7.0;0.8722222222222222;0.9573170731707317;0.904904949784792;0.7961956521739131
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;NaiveBayes;SMOTE;Yes;239.0;34.0;170.0;7.0;0.8754578754578755;0.9715447154471545;0.91641758329348;0.8140758207872301
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;IBK;NO SAMPLING;No;77.0;13.0;55.0;5.0;0.8555555555555555;0.9390243902439024;0.8797525107604017;0.7554347826086957
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;RandomForest;NO SAMPLING;No;156.0;24.0;112.0;8.0;0.8666666666666667;0.9512195121951219;0.9036271520803444;0.7826086956521738
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;NaiveBayes;NO SAMPLING;No;238.0;35.0;169.0;8.0;0.8717948717948718;0.967479674796748;0.9126016260162602;0.8050063486305098
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;IBK;OVERSAMPLING;No;77.0;13.0;55.0;5.0;0.8555555555555555;0.9390243902439024;0.8480989956958394;0.7554347826086957
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;RandomForest;OVERSAMPLING;No;154.0;24.0;112.0;10.0;0.8651685393258427;0.9390243902439024;0.8931357604017217;0.7693142753754298
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;NaiveBayes;OVERSAMPLING;No;236.0;35.0;169.0;10.0;0.8708487084870848;0.959349593495935;0.9048401881077635;0.7961094665619526
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;IBK;UNDERSAMPLING;No;68.0;11.0;57.0;14.0;0.8607594936708861;0.8292682926829268;0.84262912482066;0.6649991066642845
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;RandomForest;UNDERSAMPLING;No;144.0;19.0;117.0;20.0;0.8834355828220859;0.8780487804878049;0.8715701219512195;0.7378797383278072
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;NaiveBayes;UNDERSAMPLING;No;224.0;30.0;174.0;22.0;0.8818897637795275;0.9105691056910569;0.8857205483819544;0.7660748560460653
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;IBK;SMOTE;No;77.0;12.0;56.0;5.0;0.8651685393258427;0.9390243902439024;0.8866571018651362;0.7693142753754298
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;RandomForest;SMOTE;No;157.0;23.0;113.0;7.0;0.8722222222222222;0.9573170731707317;0.904904949784792;0.7961956521739131
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;NaiveBayes;SMOTE;No;239.0;34.0;170.0;7.0;0.8754578754578755;0.9715447154471545;0.91641758329348;0.8140758207872301
